ticket_id,customer_id,created_date,ticket_category,priority,support_channel,escalated,resolved,resolution_time,csat_score,within_30d_of_cancellation,resolution_speed,high_priority,is_escalated,csat_category,resolution_status
30,11,2025-03-27,Onboarding,Medium,Email,True,True,10.7,3.0,False,Fast,False,True,Average,Resolved
31,12,2025-04-08,Technical,Low,Email,False,True,21.9,4.0,False,Fast,False,False,Good,Resolved
32,12,2024-05-22,Usage,Medium,Phone,False,True,1.0,4.0,False,Fast,False,False,Good,Resolved
33,12,2026-04-25,Technical,Low,Phone,False,True,4.4,5.0,False,Fast,False,False,Excellent,Resolved
34,12,2026-04-02,Usage,Medium,Email,False,True,16.7,5.0,False,Fast,False,False,Excellent,Resolved
35,13,2025-04-09,Usage,Low,Self-Service,False,True,13.7,2.0,False,Fast,False,False,Poor,Resolved
36,13,2024-12-17,Billing,Medium,Email,False,True,4.0,3.0,False,Fast,False,False,Average,Resolved
37,13,2025-10-25,Usage,Urgent,Chat,False,True,25.0,4.0,False,Normal,False,False,Good,Resolved
38,13,2026-02-23,Billing,Medium,Email,False,True,22.0,4.0,False,Fast,False,False,Good,Resolved
39,13,2026-04-05,Technical,Medium,Chat,False,True,4.4,4.0,False,Fast,False,False,Good,Resolved
40,13,2025-02-17,Technical,Low,Email,False,True,12.4,4.0,False,Fast,False,False,Good,Resolved
41,14,2026-04-07,Technical,Low,Email,False,True,20.3,3.0,False,Fast,False,False,Average,Resolved
42,15,2026-05-24,Usage,Medium,Chat,False,False,,,False,,False,False,,Open
43,15,2026-05-21,Technical,Medium,Phone,False,False,,,False,,False,False,,Open
44,15,2026-05-26,Billing,Medium,Chat,False,True,11.1,5.0,False,Fast,False,False,Excellent,Resolved
45,16,2026-06-14,Account,Medium,Chat,False,False,,,False,,False,False,,Open
46,16,2025-01-11,Onboarding,Low,Email,False,True,11.1,5.0,False,Fast,False,False,Excellent,Resolved
47,16,2026-01-18,Usage,Medium,Email,False,True,19.2,3.0,False,Fast,False,False,Average,Resolved
48,16,2024-10-05,Onboarding,Medium,Chat,False,False,,,False,,False,False,,Open
49,16,2024-10-06,Account,High,Phone,False,True,26.5,5.0,False,Normal,True,False,Excellent,Resolved
50,16,2025-04-21,Technical,Urgent,Email,False,True,14.2,4.0,False,Fast,False,False,Good,Resolved
51,17,2024-05-26,Billing,Low,Phone,False,True,21.3,5.0,False,Fast,False,False,Excellent,Resolved
52,18,2025-09-22,Onboarding,Medium,Email,False,True,19.8,4.0,False,Fast,False,False,Good,Resolved
53,18,2025-06-20,Account,Medium,Chat,True,False,,,False,,False,True,,Open
54,19,2025-07-01,Technical,Low,Chat,False,True,6.5,5.0,True,Fast,False,False,Excellent,Resolved
55,19,2025-05-10,Onboarding,Low,Email,False,True,20.5,5.0,False,Fast,False,False,Excellent,Resolved
56,19,2025-07-20,Technical,Medium,Email,True,True,20.8,5.0,True,Fast,False,True,Excellent,Resolved
57,20,2026-03-26,Billing,High,Chat,False,True,1.0,2.0,False,Fast,True,False,Poor,Resolved
58,20,2026-06-28,Account,Medium,Email,True,True,11.5,4.0,False,Fast,False,True,Good,Resolved
59,20,2026-02-16,Technical,Urgent,Self-Service,False,True,2.5,5.0,False,Fast,False,False,Excellent,Resolved
60,20,2026-06-09,Technical,High,Email,True,True,2.5,4.0,False,Fast,True,True,Good,Resolved
61,21,2025-12-25,Usage,Medium,Chat,False,True,15.5,2.0,False,Fast,False,False,Poor,Resolved
62,21,2025-11-08,Technical,Low,Email,False,True,28.9,5.0,False,Normal,False,False,Excellent,Resolved
63,22,2026-05-12,Account,Low,Email,True,True,16.7,5.0,False,Fast,False,True,Excellent,Resolved
64,22,2026-04-29,Billing,High,Phone,False,True,31.1,2.0,False,Normal,True,False,Poor,Resolved
65,22,2026-06-05,Billing,Medium,Chat,False,True,28.3,3.0,False,Normal,False,False,Average,Resolved
66,22,2026-05-09,Technical,High,Email,False,True,9.4,3.0,False,Fast,True,False,Average,Resolved
67,22,2026-04-21,Account,Medium,Email,True,True,15.6,3.0,False,Fast,False,True,Average,Resolved
68,22,2026-07-15,Account,Medium,Email,False,True,3.6,2.0,False,Fast,False,False,Poor,Resolved
69,23,2026-06-22,Technical,Low,Email,False,True,9.4,5.0,False,Fast,False,False,Excellent,Resolved
70,23,2026-07-14,Technical,High,Email,False,False,,,False,,True,False,,Open
71,23,2026-07-26,Billing,Medium,Email,False,True,4.7,5.0,False,Fast,False,False,Excellent,Resolved
72,23,2026-06-05,Billing,Medium,Self-Service,False,True,6.5,5.0,False,Fast,False,False,Excellent,Resolved
73,24,2026-07-22,Onboarding,Medium,Email,False,True,21.4,4.0,False,Fast,False,False,Good,Resolved
74,24,2025-12-16,Billing,Medium,Email,False,True,6.8,5.0,False,Fast,False,False,Excellent,Resolved
75,24,2025-11-28,Onboarding,High,Chat,False,True,1.0,4.0,False,Fast,True,False,Good,Resolved
76,24,2026-03-07,Technical,Medium,Email,False,True,1.0,2.0,False,Fast,False,False,Poor,Resolved
77,24,2026-04-29,Billing,Low,Phone,False,True,13.6,5.0,False,Fast,False,False,Excellent,Resolved
78,25,2025-01-15,Technical,Low,Email,False,True,16.7,5.0,False,Fast,False,False,Excellent,Resolved
79,25,2026-01-18,Account,Medium,Email,False,True,1.9,3.0,False,Fast,False,False,Average,Resolved
80,25,2026-01-07,Account,Medium,Chat,True,False,,,False,,False,True,,Open
81,25,2026-05-22,Technical,Medium,Phone,False,False,,,False,,False,False,,Open
82,25,2025-12-12,Technical,Medium,Phone,False,True,9.6,5.0,False,Fast,False,False,Excellent,Resolved
83,25,2025-01-24,Billing,Medium,Chat,True,False,,,False,,False,True,,Open
84,26,2026-02-07,Billing,Low,Email,True,True,1.9,4.0,False,Fast,False,True,Good,Resolved
85,26,2026-01-14,Technical,Medium,Chat,False,True,16.3,4.0,False,Fast,False,False,Good,Resolved
86,26,2026-02-24,Usage,Medium,Chat,False,True,21.0,3.0,False,Fast,False,False,Average,Resolved
87,26,2026-03-26,Billing,Medium,Email,False,False,,,True,,False,False,,Open
88,26,2026-03-14,Account,Urgent,Phone,False,False,,,True,,False,False,,Open
89,26,2026-02-14,Billing,Medium,Email,False,False,,,False,,False,False,,Open
90,26,2026-01-19,Technical,High,Phone,False,True,28.4,3.0,False,Normal,True,False,Average,Resolved
91,26,2026-01-28,Usage,Low,Email,False,False,,,False,,False,False,,Open
92,26,2026-04-01,Onboarding,High,Email,True,True,19.4,3.0,True,Fast,True,True,Average,Resolved
93,26,2026-01-12,Usage,Medium,Phone,False,True,1.0,4.0,False,Fast,False,False,Good,Resolved
94,27,2025-10-15,Billing,Low,Phone,False,True,1.0,4.0,False,Fast,False,False,Good,Resolved
95,27,2026-05-30,Technical,Low,Phone,False,True,13.3,5.0,False,Fast,False,False,Excellent,Resolved
96,27,2025-07-10,Account,Medium,Email,True,False,,,False,,False,True,,Open
97,27,2025-06-02,Account,Medium,Email,False,False,,,False,,False,False,,Open
98,27,2026-01-27,Account,Medium,Chat,False,False,,,False,,False,False,,Open
99,28,2025-08-12,Billing,Medium,Email,False,True,25.3,2.0,False,Normal,False,False,Poor,Resolved
100,29,2026-07-09,Technical,Urgent,Chat,False,True,29.8,4.0,False,Normal,False,False,Good,Resolved
101,29,2026-07-02,Onboarding,Low,Chat,False,False,,,False,,False,False,,Open
102,29,2026-07-09,Account,Medium,Chat,False,True,1.3,5.0,False,Fast,False,False,Excellent,Resolved
103,30,2025-03-08,Onboarding,Low,Email,False,True,21.7,4.0,False,Fast,False,False,Good,Resolved
104,30,2025-11-17,Onboarding,Low,Email,False,False,,,False,,False,False,,Open
105,30,2026-05-25,Usage,High,Email,False,False,,,False,,True,False,,Open
106,31,2025-08-25,Usage,Low,Phone,True,True,16.3,1.0,False,Fast,False,True,Poor,Resolved
107,31,2025-12-22,Billing,Medium,Chat,False,False,,,False,,False,False,,Open
108,31,2026-03-10,Billing,Medium,Email,False,True,1.0,2.0,False,Fast,False,False,Poor,Resolved
109,31,2026-04-09,Technical,Medium,Chat,False,True,13.0,3.0,False,Fast,False,False,Average,Resolved
110,31,2025-09-24,Technical,Urgent,Chat,False,False,,,False,,False,False,,Open
111,31,2026-05-30,Cancellation,Medium,Phone,False,True,17.3,3.0,False,Fast,False,False,Average,Resolved
112,32,2025-12-13,Onboarding,Low,Phone,False,True,1.0,5.0,False,Fast,False,False,Excellent,Resolved
113,32,2025-06-18,Billing,Medium,Chat,False,True,1.0,5.0,False,Fast,False,False,Excellent,Resolved
114,32,2024-09-10,Usage,Medium,Chat,False,True,9.1,3.0,False,Fast,False,False,Average,Resolved
115,32,2026-02-01,Technical,Medium,Chat,False,False,,,False,,False,False,,Open
116,32,2026-04-14,Billing,Medium,Email,False,True,13.6,4.0,False,Fast,False,False,Good,Resolved
117,33,2026-02-07,Technical,Medium,Phone,False,True,8.1,4.0,False,Fast,False,False,Good,Resolved
118,33,2026-04-14,Account,Medium,Email,False,False,,,False,,False,False,,Open
119,33,2026-01-30,Onboarding,High,Email,True,False,,,False,,True,True,,Open
120,33,2024-07-08,Onboarding,Low,Self-Service,False,True,1.0,1.0,False,Fast,False,False,Poor,Resolved
121,33,2026-02-13,Billing,Urgent,Phone,False,True,3.5,5.0,False,Fast,False,False,Excellent,Resolved
122,34,2025-10-21,Account,Medium,Email,False,True,24.1,2.0,False,Normal,False,False,Poor,Resolved
123,34,2025-08-24,Account,High,Email,False,True,1.0,4.0,False,Fast,True,False,Good,Resolved
124,35,2025-07-09,Technical,Low,Email,False,True,29.3,1.0,False,Normal,False,False,Poor,Resolved
125,35,2025-05-14,Billing,Medium,Email,False,True,18.7,5.0,False,Fast,False,False,Excellent,Resolved
126,36,2026-05-20,Usage,Medium,Chat,False,False,,,False,,False,False,,Open
127,36,2026-03-12,Usage,Medium,Chat,False,True,26.8,3.0,False,Normal,False,False,Average,Resolved
128,37,2026-06-26,Onboarding,High,Email,True,True,7.2,5.0,False,Fast,True,True,Excellent,Resolved
129,37,2026-06-04,Billing,Medium,Phone,True,True,3.8,1.0,False,Fast,False,True,Poor,Resolved
130,37,2026-05-30,Onboarding,High,Phone,False,False,,,False,,True,False,,Open
131,37,2026-05-10,Account,Low,Email,True,True,23.2,4.0,False,Fast,False,True,Good,Resolved
132,37,2026-05-31,Onboarding,High,Email,False,False,,,False,,True,False,,Open
133,37,2026-07-13,Cancellation,Medium,Chat,False,True,1.0,4.0,False,Fast,False,False,Good,Resolved
134,37,2026-05-14,Technical,Low,Email,True,False,,,False,,False,True,,Open
135,38,2026-05-20,Billing,Medium,Email,False,True,10.7,4.0,False,Fast,False,False,Good,Resolved
136,38,2025-03-26,Onboarding,Low,Email,True,True,9.1,4.0,False,Fast,False,True,Good,Resolved
137,38,2025-11-06,Usage,Medium,Chat,False,True,15.3,5.0,False,Fast,False,False,Excellent,Resolved
138,38,2026-06-15,Billing,Medium,Chat,False,True,22.8,4.0,False,Fast,False,False,Good,Resolved
139,39,2026-02-26,Onboarding,High,Chat,False,True,1.0,3.0,False,Fast,True,False,Average,Resolved
140,39,2026-07-16,Billing,Low,Email,False,True,19.8,4.0,False,Fast,False,False,Good,Resolved
141,39,2026-04-20,Billing,High,Email,False,True,1.0,4.0,False,Fast,True,False,Good,Resolved
142,39,2026-02-12,Usage,Low,Email,True,True,1.0,3.0,False,Fast,False,True,Average,Resolved
143,40,2025-11-22,Technical,Low,Email,False,True,1.0,5.0,False,Fast,False,False,Excellent,Resolved
144,40,2026-06-23,Technical,Medium,Phone,True,True,15.0,5.0,False,Fast,False,True,Excellent,Resolved
145,40,2026-06-03,Technical,High,Chat,False,True,17.7,5.0,False,Fast,True,False,Excellent,Resolved
146,40,2026-02-14,Onboarding,Medium,Chat,False,True,18.6,4.0,False,Fast,False,False,Good,Resolved
147,41,2026-03-31,Usage,High,Email,False,True,3.3,4.0,False,Fast,True,False,Good,Resolved
148,41,2025-07-25,Usage,Medium,Chat,False,True,11.0,4.0,False,Fast,False,False,Good,Resolved
149,41,2026-06-21,Cancellation,Urgent,Phone,False,True,6.6,5.0,False,Fast,False,False,Excellent,Resolved
150,41,2025-09-23,Billing,Medium,Self-Service,False,True,16.5,3.0,False,Fast,False,False,Average,Resolved
151,41,2025-08-24,Technical,Medium,Email,False,True,15.7,4.0,False,Fast,False,False,Good,Resolved
152,41,2025-11-17,Onboarding,Medium,Email,False,True,16.3,5.0,False,Fast,False,False,Excellent,Resolved
153,42,2026-06-20,Billing,Low,Phone,False,True,12.2,3.0,False,Fast,False,False,Average,Resolved
154,42,2026-06-18,Usage,Medium,Phone,True,True,7.6,4.0,False,Fast,False,True,Good,Resolved
155,42,2026-05-17,Billing,Urgent,Phone,False,False,,,False,,False,False,,Open
156,42,2026-07-17,Technical,Medium,Phone,False,True,11.3,5.0,False,Fast,False,False,Excellent,Resolved
157,42,2026-07-24,Cancellation,Medium,Chat,False,True,23.3,5.0,False,Fast,False,False,Excellent,Resolved
158,43,2025-05-07,Usage,Low,Email,False,True,9.3,4.0,False,Fast,False,False,Good,Resolved
159,43,2025-02-02,Usage,Medium,Chat,False,True,26.2,5.0,False,Normal,False,False,Excellent,Resolved
160,43,2026-07-16,Technical,Low,Phone,False,True,6.7,1.0,False,Fast,False,False,Poor,Resolved
161,44,2025-08-10,Technical,High,Phone,False,True,2.5,5.0,False,Fast,True,False,Excellent,Resolved
162,44,2025-07-06,Usage,Medium,Phone,False,True,16.2,4.0,False,Fast,False,False,Good,Resolved
163,44,2026-05-20,Account,Medium,Email,False,True,11.7,5.0,False,Fast,False,False,Excellent,Resolved
164,44,2024-12-08,Onboarding,High,Chat,False,True,9.8,4.0,False,Fast,True,False,Good,Resolved
165,45,2025-11-22,Cancellation,High,Phone,False,True,29.4,2.0,False,Normal,True,False,Poor,Resolved
166,45,2026-04-26,Technical,Low,Phone,False,True,21.8,4.0,False,Fast,False,False,Good,Resolved
167,45,2026-07-06,Technical,Medium,Email,False,True,12.3,4.0,False,Fast,False,False,Good,Resolved
168,46,2025-07-17,Technical,Medium,Chat,False,False,,,False,,False,False,,Open
169,46,2025-07-20,Technical,Medium,Phone,False,True,2.4,4.0,False,Fast,False,False,Good,Resolved
170,46,2025-08-09,Technical,High,Chat,False,True,11.4,3.0,False,Fast,True,False,Average,Resolved
171,46,2025-07-27,Onboarding,High,Phone,False,True,16.5,4.0,False,Fast,True,False,Good,Resolved
172,46,2025-05-18,Account,Urgent,Chat,True,False,,,False,,False,True,,Open
173,46,2025-08-02,Technical,Low,Phone,False,True,22.6,3.0,False,Fast,False,False,Average,Resolved
174,46,2025-08-27,Usage,High,Phone,False,True,18.2,2.0,False,Fast,True,False,Poor,Resolved
175,46,2025-09-08,Billing,Medium,Email,False,True,22.1,4.0,False,Fast,False,False,Good,Resolved
176,46,2025-06-07,Technical,Medium,Email,False,True,10.1,2.0,False,Fast,False,False,Poor,Resolved
177,46,2025-06-07,Account,Medium,Email,False,True,27.2,2.0,False,Normal,False,False,Poor,Resolved
178,47,2026-02-13,Billing,Urgent,Email,False,True,7.1,4.0,False,Fast,False,False,Good,Resolved
179,47,2025-07-27,Technical,Medium,Email,False,True,11.2,3.0,False,Fast,False,False,Average,Resolved
180,47,2025-11-22,Billing,Medium,Email,False,True,1.0,5.0,False,Fast,False,False,Excellent,Resolved
181,48,2026-05-28,Billing,Medium,Phone,False,False,,,False,,False,False,,Open
182,48,2026-06-28,Onboarding,Medium,Email,False,True,10.7,4.0,False,Fast,False,False,Good,Resolved
183,48,2026-05-13,Billing,High,Email,False,True,1.9,4.0,False,Fast,True,False,Good,Resolved
184,49,2026-06-07,Onboarding,Urgent,Chat,True,False,,,False,,False,True,,Open
185,50,2026-07-04,Technical,Urgent,Email,False,True,29.5,4.0,False,Normal,False,False,Good,Resolved
186,50,2026-07-03,Account,Low,Email,True,True,25.8,5.0,False,Normal,False,True,Excellent,Resolved
187,50,2026-07-16,Technical,Low,Phone,True,True,29.1,4.0,False,Normal,False,True,Good,Resolved
188,50,2026-07-01,Technical,Medium,Phone,False,False,,,False,,False,False,,Open
189,50,2026-06-12,Billing,Medium,Phone,False,True,9.0,5.0,False,Fast,False,False,Excellent,Resolved
190,50,2026-05-31,Technical,High,Chat,False,True,20.5,5.0,False,Fast,True,False,Excellent,Resolved
191,51,2025-11-09,Account,Low,Chat,False,True,8.1,4.0,False,Fast,False,False,Good,Resolved
192,51,2025-12-13,Onboarding,Medium,Phone,False,True,16.0,4.0,False,Fast,False,False,Good,Resolved
193,52,2026-07-06,Technical,High,Email,False,True,1.0,3.0,False,Fast,True,False,Average,Resolved
194,53,2024-04-25,Account,High,Chat,False,False,,,False,,True,False,,Open
195,54,2025-07-11,Onboarding,Low,Email,False,True,22.5,5.0,False,Fast,False,False,Excellent,Resolved
196,55,2025-08-16,Usage,Low,Chat,False,True,7.3,5.0,False,Fast,False,False,Excellent,Resolved
197,55,2025-06-16,Account,High,Phone,False,True,16.7,3.0,False,Fast,True,False,Average,Resolved
198,55,2025-07-22,Billing,Low,Phone,False,True,2.7,5.0,False,Fast,False,False,Excellent,Resolved
199,55,2025-08-29,Technical,Medium,Email,False,True,23.2,2.0,False,Fast,False,False,Poor,Resolved
200,55,2025-04-12,Billing,Low,Self-Service,False,True,30.3,3.0,False,Normal,False,False,Average,Resolved
201,55,2025-06-12,Technical,Urgent,Email,False,True,3.5,5.0,False,Fast,False,False,Excellent,Resolved
202,55,2026-03-21,Usage,Medium,Phone,False,True,29.2,2.0,False,Normal,False,False,Poor,Resolved
203,56,2025-11-21,Billing,Medium,Phone,False,True,17.4,5.0,False,Fast,False,False,Excellent,Resolved
204,56,2026-03-06,Onboarding,Medium,Chat,False,True,25.3,1.0,False,Normal,False,False,Poor,Resolved
205,57,2026-04-06,Technical,High,Email,True,True,29.6,1.0,False,Normal,True,True,Poor,Resolved
206,57,2026-07-26,Usage,Low,Email,False,True,1.3,5.0,False,Fast,False,False,Excellent,Resolved
207,57,2026-03-11,Technical,Urgent,Chat,False,True,11.3,2.0,False,Fast,False,False,Poor,Resolved
208,57,2026-02-22,Technical,Low,Chat,False,True,6.3,4.0,False,Fast,False,False,Good,Resolved
209,57,2026-04-14,Usage,Medium,Phone,False,False,,,False,,False,False,,Open
210,57,2026-03-15,Billing,Low,Phone,False,True,24.1,4.0,False,Normal,False,False,Good,Resolved
211,57,2026-04-22,Onboarding,Medium,Chat,False,True,39.5,3.0,False,Normal,False,False,Average,Resolved
212,58,2026-06-15,Account,Medium,Chat,False,True,15.9,5.0,False,Fast,False,False,Excellent,Resolved
213,58,2026-05-14,Billing,Medium,Chat,False,True,1.0,4.0,False,Fast,False,False,Good,Resolved
214,58,2026-05-22,Technical,Urgent,Phone,False,True,25.2,3.0,False,Normal,False,False,Average,Resolved
215,58,2026-06-01,Technical,Medium,Chat,False,True,19.3,2.0,False,Fast,False,False,Poor,Resolved
216,58,2026-07-22,Account,High,Email,True,True,2.5,4.0,False,Fast,True,True,Good,Resolved
217,58,2026-02-28,Technical,Medium,Phone,False,False,,,False,,False,False,,Open
218,58,2026-02-11,Technical,Medium,Email,False,False,,,False,,False,False,,Open
219,58,2026-06-02,Account,Medium,Chat,False,True,26.3,5.0,False,Normal,False,False,Excellent,Resolved
220,59,2026-02-25,Billing,Low,Phone,True,True,11.6,5.0,False,Fast,False,True,Excellent,Resolved
221,59,2026-01-13,Billing,Medium,Email,False,True,10.7,5.0,False,Fast,False,False,Excellent,Resolved
222,59,2025-09-14,Onboarding,High,Self-Service,False,True,14.5,4.0,False,Fast,True,False,Good,Resolved
223,59,2026-04-02,Account,High,Chat,False,True,22.5,4.0,False,Fast,True,False,Good,Resolved
224,59,2025-08-01,Technical,Urgent,Phone,False,True,23.2,5.0,False,Fast,False,False,Excellent,Resolved
225,59,2025-10-04,Usage,Urgent,Chat,False,True,17.5,2.0,False,Fast,False,False,Poor,Resolved
226,60,2024-08-25,Technical,High,Email,True,True,1.0,5.0,False,Fast,True,True,Excellent,Resolved
227,60,2025-08-30,Onboarding,High,Self-Service,False,True,34.4,5.0,False,Normal,True,False,Excellent,Resolved
228,60,2026-03-27,Cancellation,Medium,Chat,False,False,,,False,,False,False,,Open
229,60,2025-09-03,Onboarding,Medium,Phone,True,True,11.3,2.0,False,Fast,False,True,Poor,Resolved
230,61,2024-05-18,Usage,High,Phone,False,True,7.5,3.0,False,Fast,True,False,Average,Resolved
231,61,2024-06-29,Technical,Urgent,Email,True,False,,,True,,False,True,,Open
232,61,2024-07-07,Technical,Medium,Email,False,True,16.9,5.0,True,Fast,False,False,Excellent,Resolved
233,61,2024-05-23,Technical,Low,Email,True,True,1.0,3.0,False,Fast,False,True,Average,Resolved
234,61,2024-03-29,Billing,Urgent,Email,True,True,7.9,4.0,False,Fast,False,True,Good,Resolved
235,61,2024-05-21,Technical,Low,Email,False,True,7.2,2.0,False,Fast,False,False,Poor,Resolved
236,62,2026-07-13,Usage,Low,Email,False,True,11.2,5.0,False,Fast,False,False,Excellent,Resolved
237,62,2026-07-14,Technical,Medium,Email,True,True,1.0,4.0,False,Fast,False,True,Good,Resolved
238,62,2026-07-24,Account,Medium,Phone,False,True,16.8,4.0,False,Fast,False,False,Good,Resolved
239,62,2026-07-03,Usage,Urgent,Chat,False,True,15.7,4.0,False,Fast,False,False,Good,Resolved
240,63,2026-02-13,Onboarding,Medium,Chat,False,False,,,False,,False,False,,Open
241,63,2025-10-17,Technical,Medium,Email,False,True,1.0,4.0,False,Fast,False,False,Good,Resolved
242,63,2025-11-29,Technical,Low,Email,False,True,20.6,5.0,False,Fast,False,False,Excellent,Resolved
243,63,2026-02-17,Technical,Medium,Email,False,True,24.4,4.0,False,Normal,False,False,Good,Resolved
244,63,2026-06-05,Technical,Medium,Email,False,True,3.2,3.0,False,Fast,False,False,Average,Resolved
245,63,2025-08-14,Onboarding,Medium,Email,False,True,4.3,4.0,False,Fast,False,False,Good,Resolved
246,64,2024-12-28,Account,Medium,Phone,False,True,3.2,4.0,False,Fast,False,False,Good,Resolved
247,64,2024-05-26,Technical,High,Email,True,False,,,False,,True,True,,Open
248,64,2026-03-05,Onboarding,Low,Phone,False,True,27.3,2.0,False,Normal,False,False,Poor,Resolved
249,64,2025-07-04,Usage,High,Chat,False,False,,,False,,True,False,,Open
250,64,2026-05-03,Billing,Low,Email,True,True,10.2,4.0,False,Fast,False,True,Good,Resolved
251,64,2024-11-19,Onboarding,Medium,Phone,True,True,31.1,3.0,False,Normal,False,True,Average,Resolved
252,64,2026-05-08,Usage,Medium,Chat,True,True,20.6,1.0,False,Fast,False,True,Poor,Resolved
253,65,2024-12-16,Billing,Medium,Phone,False,True,1.0,3.0,False,Fast,False,False,Average,Resolved
254,65,2025-06-12,Account,High,Email,False,True,17.5,5.0,False,Fast,True,False,Excellent,Resolved
255,65,2025-06-07,Technical,Medium,Chat,False,True,4.9,4.0,False,Fast,False,False,Good,Resolved
256,65,2025-03-21,Onboarding,Urgent,Phone,False,False,,,False,,False,False,,Open
257,66,2026-04-13,Technical,Medium,Email,False,True,7.6,3.0,False,Fast,False,False,Average,Resolved
258,66,2026-05-25,Account,Medium,Chat,False,True,2.5,4.0,False,Fast,False,False,Good,Resolved
259,67,2026-05-03,Onboarding,Urgent,Email,False,False,,,False,,False,False,,Open
260,67,2026-07-09,Account,Low,Chat,True,False,,,False,,False,True,,Open
261,67,2026-04-28,Billing,Low,Chat,False,True,29.5,4.0,False,Normal,False,False,Good,Resolved
262,67,2026-06-10,Billing,Medium,Phone,False,False,,,False,,False,False,,Open
263,67,2026-05-13,Technical,Medium,Phone,False,True,10.8,4.0,False,Fast,False,False,Good,Resolved
264,68,2026-02-02,Billing,High,Email,False,True,12.9,2.0,False,Fast,True,False,Poor,Resolved
265,68,2026-02-08,Usage,Medium,Email,False,True,1.0,2.0,False,Fast,False,False,Poor,Resolved
266,68,2026-02-12,Billing,Medium,Email,False,False,,,False,,False,False,,Open
267,69,2024-10-28,Billing,Medium,Chat,False,True,3.4,4.0,False,Fast,False,False,Good,Resolved
268,69,2024-10-25,Usage,Medium,Phone,False,False,,,False,,False,False,,Open
269,69,2024-11-15,Account,Low,Email,False,True,18.4,4.0,False,Fast,False,False,Good,Resolved
270,69,2024-12-09,Cancellation,Medium,Email,False,True,13.5,2.0,False,Fast,False,False,Poor,Resolved
271,69,2024-10-26,Usage,Medium,Chat,True,True,19.1,4.0,False,Fast,False,True,Good,Resolved
272,69,2024-11-04,Technical,Medium,Email,True,True,1.0,4.0,False,Fast,False,True,Good,Resolved
273,70,2026-05-01,Billing,Medium,Email,True,False,,,False,,False,True,,Open
274,70,2026-05-29,Onboarding,High,Chat,False,True,15.5,5.0,False,Fast,True,False,Excellent,Resolved
275,70,2025-10-14,Technical,Medium,Email,False,True,9.4,4.0,False,Fast,False,False,Good,Resolved
